Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Aruba																																																											
Afghanistan																																14.56099987	14.06799984	14.70199966	14.66899967	15.47799969	14.2329998	14.23900032	14.22999954	14.28499985	14.37100029	14.65699959	15.81700039	13.70100021	14.29599953	13.59300041	13.68500042	12.86299992	13.14299965	11.93400002	12.40100002	12.81900024	12.57400036	13.05099964	13.28800011	13.43200016	13.01599979	12.70600033	12.42399979
Angola																																25.29100037	25.17200089	25.14100075	25.47400093	25.92099953	25.94099998	25.72999954	25.62199974	25.49699974	25.47900009	25.50300026	25.80400085	25.45100021	25.5890007	23.15600014	20.65200043	18.13800049	15.57400036	12.86499977	10.40799999	7.702000141	7.697999954	7.69299984	7.653999805	7.618999958	8.11400032	8.645000458	9.081000328
Albania																																27.68000031	28.0170002	29.64699936	29.58099937	29.47599983	29.79800034	29.69199944	29.79500008	29.84499931	29.2689991	29.28199959	26.94300079	24.56599998	22.12199974	19.61700058	17.00099945	13.22900009	12.73999977	15.79699993	13.70100021	13.35900021	12.73700047	13.05300045	15.11200047	17.13899994	14.54899979	13.2840004	14.76099968
Andorra																																																											
Arab World																																17.79467631	17.43625497	18.59920186	19.74334671	20.54124356	18.28503251	17.50828827	18.56041727	17.02586718	18.47745056	18.93427753	19.49746442	19.76424579	18.73393664	19.75903449	18.53354061	17.20656453	17.12573974	18.27808221	19.40042486	19.07901241	19.64091153	19.16063086	19.10102669	19.18352137	19.06193061	18.90970002	18.70909021
United Arab Emirates																																2.430999994	2.438999891	2.454999924	2.385999918	2.358999968	2.459000111	2.52699995	2.650000095	2.700000048	2.717999935	3.723999977	4.649000168	5.47300005	6.322000027	7.21600008	8.092000008	9.020000458	15.21000004	13.19900036	11.76799965	10.42000008	9.210000038	7.988999844	6.837999821	5.677999973	4.59800005	4.593999863	4.623000145
Argentina																																5.747000217	6.712999821	12.61100006	13.97500038	22.2689991	19.23600006	17.70199966	14.06400013	15.17300034	16.37400055	17.19199944	18.8220005	17.57699966	15.81599998	13.59200001	12.42500019	10.97799969	9.751999855	9.87100029	9.225999832	8.513999939	8.838999748	8.505999565	8.399999619	8.234000206	9.55700016	9.524000168	9.119000435
Armenia																																2.676000118	2.421000004	7.497000217	8.612999916	10.26900005	14.90299988	17.14500046	13.65699959	15.22700024	15.84200001	16.47800064	17.15800095	17.67499924	18.07900047	18.71100044	19.19799995	19.70499992	19.85199928	19.86199951	21.29400063	19.64800072	18.1989994	18.13299942	19.47299957	19.25799942	17.82699966	18.4829998	18.70599937
American Samoa																																																											
Antigua and Barbuda																																																											
Australia																																9.147999763	9.925999641	9.993000031	9.362000465	8.109000206	8.241999626	8.069999695	7.333000183	6.653999805	6.053999901	6.44299984	6.163000107	5.980000019	5.534999847	5.217999935	4.918000221	4.788000107	4.56400013	5.401000023	5.380000114	5.303999901	5.31799984	5.605000019	6.162000179	6.071000099	5.784999847	5.665999889	5.570000172
Austria																																3.54399991	3.770999908	4.5	3.957000017	4.906000137	5.205999851	5.269000053	5.587999821	4.762000084	4.593999863	4.133999825	4.52699995	4.340000153	5.885000229	5.860000134	5.599999905	5.302000046	4.412000179	5.084000111	4.631000042	4.576000214	4.795000076	5.287000179	5.380000114	5.303999901	5.535999775	5.031000137	4.934999943
Azerbaijan																																10.31499958	8.324000359	8.395999908	8.501000404	8.68500042	12.92099953	12.99100018	12.90499973	12.97599983	12.75599957	11.52799988	10.35999966	9.239999771	8.050999641	7.350999832	6.346000195	5.313000202	4.968999863	6.558000088	6.90199995	6.451000214	6.093999863	5.946000099	5.839000225	5.867000103	5.907000065	5.406000137	5.40500021
Burundi																																1.146999955	1.13499999	1.126000047	1.128000021	1.129999995	1.133000016	1.144999981	1.159000039	1.161000013	1.171000004	1.174000025	1.177000046	1.177999973	1.17900002	1.177000046	1.174999952	1.167000055	1.164000034	1.146000028	1.131999969	1.111999989	1.093999982	1.077999949	1.139000058	1.136000037	1.133999944	1.121000051	1.108999968
Belgium																																10.6590004	9.505999565	10.82600021	12.43099976	12.2159996	12.40200043	11.55300045	11.70100021	10.2159996	8.284000397	6.923999786	7.802999973	7.999000072	8.279000282	9.51099968	9.317000389	8.449999809	7.605000019	8.11400032	8.515000343	7.177999973	7.40899992	8.173999786	7.936999798	7.768000126	7.559999943	7.058000088	6.428999901
Benin																																0.582000017	0.579999983	0.565999985	0.546000004	0.531000018	0.513000011	0.497000009	0.477999985	0.460999995	0.442999989	0.425999999	0.425999999	0.549000025	0.667999983	0.778999984	0.888999999	0.995999992	1.093999982	1.184999943	1.187000036	2.868000031	2.862999916	2.857000113	2.849999905	2.842000008	2.753999949	2.671000004	2.595999956
Burkina Faso																																2.808000088	2.77699995	2.785000086	2.780999899	2.76699996	2.753000021	2.707999945	2.680999994	2.742000103	2.779999971	2.857000113	2.904000044	2.996999979	3.642999887	4.322999954	1.620000005	3.568000078	4.438000202	5.269999981	6.166999817	6.993000031	7.829999924	8.654999733	9.526000023	9.517999649	9.293999672	9.109999657	8.94699955
Bangladesh																																2.921999931	2.755000114	2.582999945	2.404000044	2.22300005	1.899999976	2.178999901	2.460999966	2.726000071	2.937000036	3.211999893	3.506000042	4.605999947	5.926000118	6.964000225	6.394999981	5.709000111	6.21600008	7.361000061	4.15500021	4.892000198	5.630000114	7.077000141	7.152999878	7.217999935	7.191999912	7.041999817	6.912000179
Bulgaria																																22.04500008	22.28899956	21.97999954	20.16500092	16.12899971	13.71800041	13.48900032	11.77499962	14.15400028	15.81400013	18.8579998	17.35700035	13.18799973	11.62199974	9.831999779	9.303999901	7.294000149	5.762000084	6.625	9.607999802	10.10999966	10.84000015	11.8409996	10.39900017	8.413000107	6.964000225	5.946000099	4.75
Bahrain																																4.684999943	4.59800005	4.572000027	4.589000225	4.553999901	4.461999893	4.409999847	4.333000183	4.287000179	4.255000114	4.322000027	4.276000023	4.193999767	4.131000042	4.052999973	4.040999889	3.980999947	3.903000116	3.832000017	3.703999996	4.052999973	3.897000074	3.898999929	3.914999962	3.926000118	3.967000008	3.977999926	4.017000198
"Bahamas, The"																																11.88599968	15.72399998	12.9989996	15.22900009	11.6960001	14.48600006	11.12199974	9.737999916	9.225999832	8.565999985	7.196000099	9.131999969	11.59700012	10.94200039	11.10099983	8.357999802	9.024000168	9.156999588	13.80000019	14.16699982	15.3039999	13.74600029	17.21299934	14.64999962	12.70699978	13.99199963	13.77799988	13.62100029
Bosnia and Herzegovina																																21.15200043	22.03300095	23.7159996	27.78100014	30.28700066	29.40699959	29.66500092	29.82500076	30.12199974	29.93600082	30.34399986	31.44400024	31.98500061	33.06999969	33.80599976	34.6629982	32.66199875	26.46299934	25.54299927	29.80400085	29.82099915	30.7310009	28.90999985	31.15200043	30.68600082	29.57799911	29.87100029	30.22100067
Belarus																																0.976000011	0.611999989	0.633000016	0.624000013	0.629000008	0.912999988	0.893000007	0.893000007	0.902999997	0.896000028	0.898000002	0.898000002	0.893999994	0.887000024	0.885999978	0.88499999	0.88499999	0.882000029	0.899999976	1.149999976	0.680000007	0.620999992	0.510999978	0.490999997	0.495999992	0.507000029	0.512000024	0.50999999
Belize																																2.167999983	8.303999901	14.35000038	15.72299957	18.05800056	18.66799927	20.75600052	21.79400063	20.62800026	18.06100082	15.50199986	15.1619997	15.68299961	16.1970005	17.29299927	14.99699974	13.01200008	12.68299961	15.34399986	17.75699997	20.09799957	22.22999954	17.5909996	19.71500015	15.07600021	13.58199978	14.47399998	14.43400002
Bermuda																																																											
Bolivia																																6.195000172	5.566999912	5.239999771	2.84800005	4.106999874	5.552000046	2.032999992	3.434999943	4.836999893	5.636000156	6.441999912	6.914999962	6.013999939	5.114999771	6.008999825	5.289999962	5.789000034	3.382999897	3.448999882	3.059999943	2.671000004	2.799000025	2.96600008	2.851999998	3.801000118	4.106999874	4.111999989	4.098999977
Brazil																																7.433000088	8.083999634	7.440999985	7.882999897	7.275000095	8.697999954	9.923000336	11.59899998	12.19200039	12.63599968	11.97399998	11.60900021	12.38799953	11.73799992	12.30500031	11.06999969	10.85299969	10.25500011	11.0880003	9.861000061	9.149000168	9.059000015	8.784000397	8.118000031	10.06499958	13.46899986	15.33600044	13.86900043
Barbados																																26.29400063	25.99399948	28.0189991	28.31200027	22.99699974	17.80400085	18.18099976	16.48900032	13.48099995	11.55900002	11.8380003	12.29500008	12.63199997	11.06099987	10.29100037	9.017000198	7.708000183	8.352000237	9.949000359	10.41600037	10.87800026	11.36699963	11.41399956	12.7130003	10.56499958	10.09200001	10.10499954	10.00699997
Brunei Darussalam																																5.960000038	6.138000011	6.140999794	6.25	6.315000057	6.40899992	6.458000183	6.607999802	6.771999836	6.813000202	6.886000156	6.914000034	6.929999828	6.938000202	6.986000061	7.065000057	6.986999989	6.971000195	7.013999939	7.146999836	7.092999935	6.959000111	6.827000141	8.090999603	7.933000088	8.036000252	8.192000389	8.213000298
Bhutan																																1.684000015	1.68900001	1.677999973	1.671000004	1.649999976	1.65199995	1.659999967	1.667999983	1.667000055	2.048000097	2.255000114	2.217999935	2.134000063	2.960999966	3.707000017	3.766000032	4.486999989	4.622000217	5.589000225	4.212999821	4.875	2.227999926	3.773999929	3.661000013	3.368000031	3.316999912	3.273999929	3.275000095
Botswana																																17.12400055	18.61300087	20.09900093	23.06999969	23.65500069	24.23699951	24.00399971	23.77099991	20.52799988	17.30200005	22.20899963	24.3939991	26.57799911	24.99099922	23.40600014	20.24799919	20.13800049	20.02499962	19.80800056	21.63599968	21.4260006	21.28899956	21.44499969	21.0720005	20.73699951	20.78800011	20.9640007	21.18899918
Central African Republic																																6.738999844	6.725999832	6.744999886	6.837999821	6.772999763	6.68599987	6.828000069	6.796999931	6.798999786	6.749000072	6.78399992	6.796999931	6.747000217	6.836999893	6.840000153	6.868999958	6.873000145	6.854000092	6.855000019	6.869999886	6.883999825	6.90899992	6.803999901	6.951000214	7.031000137	6.826000214	6.645999908	6.482999802
Canada																																9.692000389	10.19200039	10.67800045	9.798000336	9.109999657	9.289999962	8.918999672	7.991000175	7.285999775	6.693999767	6.856999874	7.116000175	7.15199995	6.852000237	6.465000153	6.09100008	5.65199995	5.651000023	7.000999928	7.239999771	7.006999969	6.815000057	6.596000195	6.387000084	6.289999962	6.238999844	5.848999977	5.422999859
Central Europe and the Baltics																																11.23175194	11.70844293	12.34654583	12.60251285	11.69706268	10.89299888	9.987994987	9.583186043	10.59644242	12.98192873	13.65063965	14.05452377	13.30277777	13.1258001	12.70470411	10.6140017	8.207719687	6.987952536	8.464917286	9.823034201	9.884990639	10.13665195	10.24162334	9.164236307	7.904777633	6.439113653	5.264505319	4.636500232
Switzerland																																2.523000002	3.529999971	4.572000027	4.421000004	3.923000097	4.089000225	3.986000061	4.140999794	3.572999954	3.132999897	3.460000038	3.095000029	4.492000103	4.768000126	5.092000008	4.710999966	4.508999825	3.967999935	4.522999763	5.195000172	4.804999828	4.722000122	4.921999931	4.991000175	4.912000179	5.011000156	5.061999798	5.052000046
Channel Islands																																8.901000023	8.55700016	8.098999977	7.769999981	7.972000122	7.927000046	7.768000126	7.710999966	7.644999981	7.565000057	7.758999825	7.798999786	7.602000237	7.815999985	7.763000011	7.81400013	7.798999786	8.269000053	8.428999901	7.828000069	7.94299984	7.953999996	7.856999874	7.68200016	7.808000088	7.982999802	8.206999779	8.397000313
Chile																																5.699999809	5.329999924	5.106999874	6.78399992	5.251999855	7.872000217	7.656000137	7.552000046	10.63399982	10.01299953	9.670999527	9.571000099	9.661000252	10.43200016	9.777999878	9.418000221	8.600000381	9.501999855	10.67399979	9.914999962	8.87100029	8.138999939	7.176000118	7.125999928	7.142000198	7.269000053	7.46600008	7.605999947
China																																4.535999775	4.039999962	3.959000111	3.944999933	4.117000103	4.133999825	4.125999928	4.228000164	4.18900013	4.026000023	4.019999981	3.90899992	3.806999922	3.803999901	3.655999899	3.532999992	3.312999964	3.838000059	3.76699996	3.678999901	3.795000076	3.90199995	3.957999945	3.999000072	4.005000114	4.131000042	4.236999989	4.346000195
Cote d'Ivoire																																9.125	9.121999741	8.220000267	7.315999985	5.55700016	5.559999943	5.561999798	5.543000221	5.390999794	5.242000103	5.118999958	4.980999947	4.853000164	4.739999771	4.617000103	4.491000175	4.368000031	4.25	4.132999897	4.006999969	3.869999886	3.803999901	3.684000015	3.565000057	3.447000027	3.349999905	3.342999935	3.335000038
Cameroon																																6.339000225	6.356999874	6.368999958	6.379000187	6.446000099	6.478000164	6.53000021	6.565999985	6.592000008	6.620999813	6.675000191	6.166999817	5.663000107	5.181000233	4.612999916	3.970999956	3.329999924	3.72300005	4.116000175	4.901000023	5.010000229	5.106999874	5.203000069	5.285999775	5.258999825	5.224999905	5.168000221	5.126999855
"Congo, Dem. Rep."																																4.210999966	4.21600008	4.218999863	4.231999874	4.28000021	4.258999825	4.242000103	4.254000187	4.256999969	4.249000072	4.27699995	4.313000202	4.333000183	4.342999935	4.342000008	4.347000122	4.353000164	4.355999947	4.350999832	4.362999916	4.367000103	4.370999813	4.375999928	4.376999855	4.370999813	4.326000214	4.31400013	4.304999828
"Congo, Rep."																																21.63100052	21.61100006	21.48200035	21.40500069	21.5170002	21.50099945	21.34499931	21.41699982	21.23200035	21.39299965	21.28100014	21.25900078	21.11899948	21.12800026	21.17000008	20.1079998	18.92099953	18.04700089	17.25099945	15.59899998	13.99800014	10.7130003	10.71199989	10.72099972	10.72299957	11.1079998	11.67199993	12.0880003
Colombia																																14.72900009	14.38700008	12.28499985	13.68599987	12.06999969	15.74600029	15.85999966	18.80999947	24.19199944	25.62199974	19.87599945	20.43300056	19.07299995	18.31100082	16.06200027	17.15500069	14.84000015	14.76399994	15.87300014	14.1619997	13.2510004	12.84700012	11.87100029	11.18200016	10.93200016	10.65400028	11.45300007	11.65200043
Comoros																																4.953000069	5.005000114	4.974999905	4.938000202	4.962999821	4.925000191	4.946000099	4.914000034	4.903999805	4.882999897	4.881000042	4.870999813	4.846000195	4.813000202	4.791999817	4.778999805	4.763000011	4.747000217	4.728000164	4.710999966	4.695000172	4.677000046	4.659999847	4.644999981	4.631000042	4.643000126	4.65199995	4.656000137
Cabo Verde																																13.1789999	13.13000011	13.13300037	13.05099964	13.00199986	12.93400002	12.91699982	12.89500046	12.87899971	12.79199982	12.68599987	12.57800007	12.51599979	12.35900021	12.25699997	12.16300011	12.02400017	11.86299992	11.65299988	11.55599976	11.47200012	11.38300037	11.29500008	11.21100044	11.13099957	11.2159996	11.22799969	11.23099995
