,country,suicides_no_x,predict
0,Antigua and Barbuda,1.0,0.4383411927927341
1,Argentina,3073.0,3164.9
2,Armenia,74.0,69.4304568404419
3,Australia,3027.0,3032.9000000000005
4,Austria,1251.0,1222.8084282559544
5,Belgium,1867.0,1857.0
6,Belize,26.0,22.270392310787827
7,Brazil,11163.0,11576.04
8,Chile,1838.0,1884.14
9,Colombia,2332.0,2202.12
10,Croatia,739.0,742.3933100233102
11,Cuba,1511.0,1453.0
12,Cyprus,40.0,37.01807106378922
13,Czech Republic,1387.0,1489.0
14,Denmark,564.0,620.9751307015422
15,Ecuador,1073.0,1049.18
16,Estonia,195.0,233.72987445887412
17,Finland,731.0,789.0
18,Georgia,192.0,194.0
19,Germany,10088.0,10030.0
20,Greece,529.0,531.07115815557
21,Grenada,0.0,0.0
22,Guatemala,494.0,487.04008658008553
23,Hungary,1868.0,1925.0
24,Iceland,40.0,43.46447458771266
25,Israel,342.0,306.0
26,Italy,3988.0,3989.0
27,Japan,23092.0,24357.0
28,Kazakhstan,2872.0,2989.5
29,Kyrgyzstan,417.0,414.15833333333296
30,Latvia,387.0,382.0
31,Lithuania,896.0,868.3432051282048
32,Luxembourg,64.0,64.13517437700841
33,Malta,34.0,32.0
34,Mauritius,104.0,111.44323824758587
35,Mexico,6234.0,5546.7
36,Netherlands,1873.0,1839.0
37,Nicaragua,315.0,312.8200000000002
38,Norway,590.0,571.0583333333333
39,Panama,110.0,147.0
40,Poland,5420.0,5443.4236363636355
41,Puerto Rico,226.0,234.28613636363622
42,Qatar,66.0,60.40745161965717
43,Republic of Korea,13510.0,13834.0
44,Romania,2228.0,2209.0
45,Russian Federation,25432.0,26541.0
46,Saint Vincent and Grenadines,3.0,3.02876438257303
47,Serbia,1062.0,1153.922901515151
48,Seychelles,7.0,6.0
49,Singapore,329.0,336.1192547648425
50,Slovenia,422.0,449.4541107407083
51,South Africa,482.0,576.44
52,Spain,3604.0,3640.84
53,Sweden,1182.0,1173.2000000000005
54,Switzerland,1073.0,1067.4007192982453
55,Thailand,4205.0,3932.92
56,Turkey,1532.0,1527.1399999999999
57,Turkmenistan,133.0,128.89999999999924
58,Ukraine,7574.0,7617.2
59,United Kingdom,4910.0,4788.0
60,Uruguay,630.0,591.0
